"County","Year","County_Code","Year_Code","Population","Deaths","Crude_Rate","Deaths_CVD","Crude_Rate_CVD","Deaths_DOH","Crude_Rate_DOH","Deaths_CBD","Crude_Rate_CBD","Crude_Rate_NoCVD","Policy_County","Policy_Year","Unemployment_Rate","Per_Capita_Income"
"Albany County, NY",1999,36001,1999,294692,2961,1004.78,1170,397.02,991,336.28,179,60.74,607.76,"Yes",2009,2.8,46648.7303541417
"Albany County, NY",2000,36001,2000,294565,2960,1004.87,1207,409.76,1023,347.29,184,62.46,595.11,"Yes",2009,3.4,48486.7121777004
"Albany County, NY",2001,36001,2001,296232,2802,945.88,1069,360.87,920,310.57,149,50.3,585.01,"Yes",2009,3.3,46924.1957142857
"Albany County, NY",2002,36001,2002,298283,2830,948.76,1193,399.96,1025,343.63,168,56.32,548.8,"Yes",2009,3.9,45657.7591050584
"Albany County, NY",2003,36001,2003,301085,2859,949.57,1202,399.22,1043,346.41,159,52.81,550.35,"Yes",2009,4.2,46025.4664184783
"Albany County, NY",2004,36001,2004,302173,2808,929.27,1096,362.71,940,311.08,156,51.63,566.56,"Yes",2009,4.2,46105.5076866067
"Albany County, NY",2005,36001,2005,302791,2850,941.24,1073,354.37,927,306.15,146,48.22,586.87,"Yes",2009,3.9,45548.8786584741
"Albany County, NY",2006,36001,2006,303997,2643,869.42,976,321.06,835,274.67,141,46.38,548.36,"Yes",2009,3.8,45948.9193849206
"Albany County, NY",2007,36001,2007,303858,2666,877.38,936,308.04,814,267.89,122,40.15,569.34,"Yes",2009,3.9,46357.2542948365
"Albany County, NY",2008,36001,2008,303739,2700,888.92,922,303.55,791,260.42,131,43.13,585.37,"Yes",2009,4.9,47254.0143936685
"Albany County, NY",2009,36001,2009,304733,2594,851.24,854,280.25,739,242.51,115,37.74,570.99,"Yes",2009,6.8,48080.7646373353
"Albany County, NY",2010,36001,2010,304204,2591,851.73,797,262,680,223.53,117,38.46,589.73,"Yes",2009,7,49741.7081850534
"Albany County, NY",2011,36001,2011,303565,2708,892.07,887,292.19,762,251.02,125,41.18,599.88,"Yes",2009,6.9,50148.0128123625
"Albany County, NY",2012,36001,2012,305455,2734,895.06,823,269.43,714,233.75,109,35.68,625.63,"Yes",2009,7.1,50926.177456728
"Albany County, NY",2013,36001,2013,306945,2647,862.37,809,263.57,702,228.71,107,34.86,598.8,"Yes",2009,6.1,50815
"Albany County, NY",2014,36001,2014,308171,2557,829.73,793,257.32,693,224.88,100,32.45,572.41,"Yes",2009,4.9,52932.3380770141
"Albany County, NY",2015,36001,2015,309381,2728,881.76,810,261.81,700,226.26,110,35.55,619.95,"Yes",2009,4.3,54720.3281536767
